city,city_lat,city_lng,population,tile_id,tile_lat,tile_lng,average_temperature,min_temperature,max_temperature,date
Los Angeles,34.1139,-118.4068,12750807,110,34.11402279,-118.406797,15.3514,9.3721,20.5566,2024-04-28
Los Angeles,34.1139,-118.4068,12750807,110,34.11402279,-118.406797,14.5364,9.8579,20.3553,2024-04-27
Los Angeles,34.1139,-118.4068,12750807,110,34.11402279,-118.406797,17.0989,10.827,21.6073,2024-04-29
Los Angeles,34.1139,-118.4068,12750807,110,34.11402279,-118.406797,15.8758,11.5001,21.9071,2024-04-30
Chicago,41.8373,-87.6862,8604203,91,41.83742135,-87.68574218,6.7419,5.4554,7.9183,2024-04-01
Chicago,41.8373,-87.6862,8604203,91,41.83742135,-87.68574218,5.1433,2.8088,12.5359,2024-04-02
Chicago,41.8373,-87.6862,8604203,91,41.83742135,-87.68574218,2.8308,1.99,3.49,2024-04-03
Chicago,41.8373,-87.6862,8604203,91,41.83742135,-87.68574218,4.0984,2.59,5.8842,2024-04-04
Chicago,41.8373,-87.6862,8604203,91,41.83742135,-87.68574218,4.702,2.7742,8.1776,2024-04-05
Chicago,41.8373,-87.6862,8604203,91,41.83742135,-87.68574218,5.0864,0.5707,10.0639,2024-04-06
Chicago,41.8373,-87.6862,8604203,91,41.83742135,-87.68574218,7.7668,3.6085,10.18,2024-04-07
Chicago,41.8373,-87.6862,8604203,91,41.83742135,-87.68574218,15.6748,7.4335,22.7506,2024-04-08
Chicago,41.8373,-87.6862,8604203,91,41.83742135,-87.68574218,13.7659,10.1251,18.9819,2024-04-09
Chicago,41.8373,-87.6862,8604203,91,41.83742135,-87.68574218,11.0714,9.3546,13.6471,2024-04-11
Chicago,41.8373,-87.6862,8604203,91,41.83742135,-87.68574218,13.6262,6.341,18.9439,2024-04-10
Chicago,41.8373,-87.6862,8604203,91,41.83742135,-87.68574218,11.4642,8.4868,17.2482,2024-04-12
Chicago,41.8373,-87.6862,8604203,91,41.83742135,-87.68574218,15.9058,4.9366,21.8651,2024-04-13
Chicago,41.8373,-87.6862,8604203,91,41.83742135,-87.68574218,19.1034,15.9324,27.1461,2024-04-14
Chicago,41.8373,-87.6862,8604203,91,41.83742135,-87.68574218,18.3158,8.179,27.3327,2024-04-16
Chicago,41.8373,-87.6862,8604203,91,41.83742135,-87.68574218,14.6605,8.1445,22.3544,2024-04-15
Chicago,41.8373,-87.6862,8604203,91,41.83742135,-87.68574218,15.3106,11.9654,20.169,2024-04-17
Chicago,41.8373,-87.6862,8604203,91,41.83742135,-87.68574218,10.7072,7.8766,14.0854,2024-04-18
Chicago,41.8373,-87.6862,8604203,91,41.83742135,-87.68574218,9.7676,5.3365,14.4099,2024-04-19
Chicago,41.8373,-87.6862,8604203,91,41.83742135,-87.68574218,4.6531,1.2083,7.5927,2024-04-20
Chicago,41.8373,-87.6862,8604203,91,41.83742135,-87.68574218,8.3822,0.8378,14.9496,2024-04-21
Chicago,41.8373,-87.6862,8604203,91,41.83742135,-87.68574218,13.8297,3.8588,20.0288,2024-04-22
Chicago,41.8373,-87.6862,8604203,91,41.83742135,-87.68574218,13.7853,9.4522,17.6354,2024-04-23
Chicago,41.8373,-87.6862,8604203,91,41.83742135,-87.68574218,4.2301,2.3088,6.6512,2024-04-24
Chicago,41.8373,-87.6862,8604203,91,41.83742135,-87.68574218,7.4615,0.6722,13.172,2024-04-25
Chicago,41.8373,-87.6862,8604203,91,41.83742135,-87.68574218,11.6331,5.4932,16.1498,2024-04-26
Chicago,41.8373,-87.6862,8604203,91,41.83742135,-87.68574218,20.5519,16.8404,23.8731,2024-04-28
Chicago,41.8373,-87.6862,8604203,91,41.83742135,-87.68574218,21.3319,15.2154,26.9641,2024-04-27
Chicago,41.8373,-87.6862,8604203,91,41.83742135,-87.68574218,17.9994,14.0834,20.82,2024-04-29
Chicago,41.8373,-87.6862,8604203,91,41.83742135,-87.68574218,17.8621,8.8946,24.9617,2024-04-30
Miami,25.7839,-80.2102,6445545,152,25.78385576,-80.21042666,24.2677,21.1648,28.7245,2024-04-01
Miami,25.7839,-80.2102,6445545,152,25.78385576,-80.21042666,25.3095,21.8021,29.299,2024-04-02
Miami,25.7839,-80.2102,6445545,152,25.78385576,-80.21042666,27.4951,24.3241,31.7043,2024-04-03
Miami,25.7839,-80.2102,6445545,152,25.78385576,-80.21042666,23.3815,21.6739,26.2253,2024-04-04
Miami,25.7839,-80.2102,6445545,152,25.78385576,-80.21042666,22.1815,17.8415,27.9003,2024-04-05
Miami,25.7839,-80.2102,6445545,152,25.78385576,-80.21042666,22.6916,16.1744,28.6216,2024-04-06
Miami,25.7839,-80.2102,6445545,152,25.78385576,-80.21042666,22.5997,18.6026,28.0056,2024-04-07
Miami,25.7839,-80.2102,6445545,152,25.78385576,-80.21042666,23.1185,19.6622,27.6616,2024-04-08
Miami,25.7839,-80.2102,6445545,152,25.78385576,-80.21042666,25.5345,22.3388,29.2539,2024-04-10
Miami,25.7839,-80.2102,6445545,152,25.78385576,-80.21042666,24.2508,20.9134,28.0617,2024-04-09
Miami,25.7839,-80.2102,6445545,152,25.78385576,-80.21042666,26.8879,25.0009,29.9876,2024-04-11
Miami,25.7839,-80.2102,6445545,152,25.78385576,-80.21042666,24.5756,22.462,30.2538,2024-04-12
Miami,25.7839,-80.2102,6445545,152,25.78385576,-80.21042666,23.015,18.0795,28.9196,2024-04-13
Miami,25.7839,-80.2102,6445545,152,25.78385576,-80.21042666,23.1369,19.3574,27.8657,2024-04-14
Miami,25.7839,-80.2102,6445545,152,25.78385576,-80.21042666,23.965,20.3391,28.3506,2024-04-15
Miami,25.7839,-80.2102,6445545,152,25.78385576,-80.21042666,25.1044,21.5208,29.6976,2024-04-16
Miami,25.7839,-80.2102,6445545,152,25.78385576,-80.21042666,25.3548,22.2965,29.3421,2024-04-17
Miami,25.7839,-80.2102,6445545,152,25.78385576,-80.21042666,25.3995,21.5516,29.4205,2024-04-18
Miami,25.7839,-80.2102,6445545,152,25.78385576,-80.21042666,25.938,23.3661,29.82,2024-04-19
Miami,25.7839,-80.2102,6445545,152,25.78385576,-80.21042666,26.3315,22.6767,30.3901,2024-04-20
Miami,25.7839,-80.2102,6445545,152,25.78385576,-80.21042666,26.7776,24.0553,30.2525,2024-04-21
Miami,25.7839,-80.2102,6445545,152,25.78385576,-80.21042666,25.0567,22.879,30.7067,2024-04-22
Miami,25.7839,-80.2102,6445545,152,25.78385576,-80.21042666,22.9793,20.9996,27.4078,2024-04-23
Miami,25.7839,-80.2102,6445545,152,25.78385576,-80.21042666,23.5009,20.5247,28.0259,2024-04-24
Miami,25.7839,-80.2102,6445545,152,25.78385576,-80.21042666,24.57,20.9967,29.138,2024-04-25
Miami,25.7839,-80.2102,6445545,152,25.78385576,-80.21042666,24.9248,21.606,29.0641,2024-04-26
Miami,25.7839,-80.2102,6445545,152,25.78385576,-80.21042666,25.3457,22.2204,28.7922,2024-04-27
Miami,25.7839,-80.2102,6445545,152,25.78385576,-80.21042666,24.8008,22.5467,28.6754,2024-04-28
Miami,25.7839,-80.2102,6445545,152,25.78385576,-80.21042666,25.265,22.3788,29.1434,2024-04-29
Miami,25.7839,-80.2102,6445545,152,25.78385576,-80.21042666,25.8203,23.4218,29.057,2024-04-30
Dallas,32.7936,-96.7662,5743938,151,32.7937687,-96.76649427,24.2585,21.1409,28.7589,2024-04-01
